alpha, epsilon, q, q_hat
8.6, 0.2, 0.909955880529217, 10.10566693169202
8.700000000000001, 0.2, 0.9116371591939092, 10.316974317229858
8.8, 0.2, 0.9132743399070472, 10.530612726708533
8.9, 0.2, 0.9148689386678911, 10.746593832524324
9.0, 0.2, 0.9164223396331675, 10.964919759788433
9.1, 0.2, 0.9179358742458065, 11.18559255715826
9.200000000000001, 0.2, 0.9194108234896334, 11.408614199840663
9.3, 0.2, 0.9208484200390251, 11.633986592472862
9.4, 0.2, 0.9222498503087371, 11.861711571886199
9.5, 0.2, 0.9236162564088363, 12.091790909756908
9.600000000000001, 0.2, 0.924948738009421, 12.324226315148813
9.700000000000001, 0.2, 0.9262483541195654, 12.55901943695181
9.8, 0.2, 0.9275161247846984, 12.79617186622074
9.9, 0.2, 0.9287530862208744, 13.035695680799948
10.0, 0.2, 0.9299600797710965, 13.27757194371173
10.100000000000001, 0.2, 0.9311380700502774, 13.521811990022922
10.200000000000001, 0.2, 0.9322879367262306, 13.768417201479433
10.3, 0.2, 0.9334105278994631, 14.017388912322337
10.4, 0.2, 0.9345066613881788, 14.26872841109837
10.5, 0.2, 0.935577125955794, 14.522436942409858
10.600000000000001, 0.2, 0.9366226824836424, 14.77851570858774
10.700000000000001, 0.2, 0.937644065091528, 15.036965871297289
10.8, 0.2, 0.938641982208615, 15.297788553078183
10.9, 0.2, 0.939617117597027, 15.560984838821899
11.0, 0.2, 0.9405701313304025, 15.82655577718901
11.100000000000001, 0.2, 0.9415016607295458, 16.094502381968805
11.200000000000001, 0.2, 0.9424123212571713, 16.364825633374377
11.3, 0.2, 0.9433027409220558, 16.637536915589806
11.4, 0.2, 0.9441734275064811, 16.912616794020334
11.5, 0.2, 0.9450249688238223, 17.19007608736616
11.600000000000001, 0.2, 0.9458579011001665, 17.469915653806993
11.700000000000001, 0.2, 0.946672742628539, 17.752136323724898
11.8, 0.2, 0.9474699944557202, 18.036738900723254
11.9, 0.2, 0.9482501410398324, 18.323724162605163
12.0, 0.2, 0.9490136508800392, 18.61309286231098
12.100000000000001, 0.2, 0.9497609771196732, 18.904845728828683
12.200000000000001, 0.2, 0.9504925581239212, 19.198983468042698
12.3, 0.2, 0.9512088180333828, 19.495506763582743
12.4, 0.2, 0.9519101672944511, 19.794416277613998
12.5, 0.2, 0.9525970031676617, 20.09571265160602
12.600000000000001, 0.2, 0.9532697102149764, 20.399396507069945
12.700000000000001, 0.2, 0.9539286607669596, 20.705468446266558
12.8, 0.2, 0.954574215370751, 21.013929052886766
12.9, 0.2, 0.9552067232196982, 21.324778892705567
13.0, 0.2, 0.9558265424963951, 21.63802872841439
13.100000000000001, 0.2, 0.9564339612593274, 21.953659063485524
13.200000000000001, 0.2, 0.9570293167578038, 22.271680237516538
13.3, 0.2, 0.9576129167274225, 22.592092750740317
13.4, 0.2, 0.9581850594504188, 22.914897088380876
13.5, 0.2, 0.958746034091169, 23.2400937211696
13.600000000000001, 0.2, 0.9592961210183388, 23.567683105842118
13.700000000000001, 0.2, 0.9598355921142547, 23.897665685615852
13.8, 0.2, 0.9603647110720573, 24.230041890649755
13.9, 0.2, 0.9608837336811658, 24.56481213848641
14.0, 0.2, 0.9613929081015578, 24.90197683447766
14.100000000000001, 0.2, 0.9618924751273478, 25.241536372194258
14.200000000000001, 0.2, 0.9623826684401212, 25.583491133819884
14.3, 0.2, 0.9628637148524639, 25.927841490530707
14.4, 0.2, 0.9633358345421043, 26.274587802860967
